,genre,rate,name,url
12744,Strategy, Need more user reviews to generate a score,quarto,https://store.steampowered.com/app/768740/Quarto/
12745,"Indie,Simulation", Need more user reviews to generate a score,industrialvrhooverdam,https://store.steampowered.com/app/768770/IndustrialVR__Hoover_Dam/
12746,"Adventure,Casual,Massively Multiplayer,Simulation", Need more user reviews to generate a score,horseparadisepegasusexpansionpack,https://store.steampowered.com/app/768562/Horse_Paradise__Pegasus_Expansion_Pack/
12747,"Indie,RPG", 95,snaresofruin,https://store.steampowered.com/app/766940/Snares_of_Ruin/
12748,"Action,Indie", Need more user reviews to generate a score,erspectro,https://store.steampowered.com/app/768310/ErSpectro/
12749,"Adventure,Casual,Indie", 92,snowwhitesolitairecharmedkingdom,https://store.steampowered.com/app/768290/Snow_White_Solitaire_Charmed_Kingdom/
12750,"Adventure,Casual,Indie,Simulation", Need more user reviews to generate a score,themysteriousship,https://store.steampowered.com/app/768020/The_mysterious_ship/
12751,"Indie,Strategy", Need more user reviews to generate a score,mathrts,https://store.steampowered.com/app/767960/Math_RTS/
12752,"Action,Casual,Free to Play,Indie,Simulation,Sports", Need more user reviews to generate a score,zaccariapinballcampaignmode,https://store.steampowered.com/app/765830/Zaccaria_Pinball__Campaign_Mode/
12753,Action, 100,dungreedsoundtrack,https://store.steampowered.com/app/765430/Dungreed__Soundtrack/
12754,Simulation, Need more user reviews to generate a score,tanedlcemdsd402ns,https://store.steampowered.com/app/766449/TANE_DLC__EMD_SD402__NS/
