url,types,name,desc_snippet,genre
https://store.steampowered.com/app/356190/Middleearth_Shadow_of_War/,app,Middle-earth™: Shadow of War™,"Experience an epic open-world brought to life by the award-winning Nemesis System. Forge a new Ring of Power, conquer Fortresses in massive battles and dominate Mordor with your personal orc army in Middle-earth™: Shadow of War™.","Action,Adventure,RPG"
https://store.steampowered.com/app/410900/Forts/,app,Forts,"Forts is a physics-based RTS where foes design and build custom bases, arm them to the teeth and blast their opponent's creations to rubble.","Action,Strategy"
https://store.steampowered.com/app/212500/The_Lord_of_the_Rings_Online/,app,The Lord of the Rings Online™,Join the world’s greatest fellowship of players in the award-winning online re-creation of J. R. R. Tolkien’s legendary Middle-earth.,"Free to Play,Massively Multiplayer,RPG"
https://store.steampowered.com/bundle/6186/Stellaris_Ascension_Pack/,bundle,Stellaris: Ascension Pack,Stellaris: Ascension Pack bundle,"Simulation,Strategy"
https://store.steampowered.com/app/799640/Dungeon_Munchies/,app,Dungeon Munchies,Hunt down monsters to cook and eat them! You’ve been revived in a massive underground complex and you must leave this bizarre facility.,"Action,Adventure,Indie,Early Access"
https://store.steampowered.com/app/901583/Grand_Theft_Auto_IV_Complete_Edition/,app,Grand Theft Auto IV: Complete Edition,"PLEASE NOTE: Microsoft no longer supports creating Games for Windows-LIVE accounts within Grand Theft Auto IV. You can create an account through account.xbox.com and then log into your account in game. This standalone retail title spans three distinct stories, interwoven to create one of the most unique and engaging single-player...","Action,Adventure"
https://store.steampowered.com/app/291650/Pillars_of_Eternity/,app,Pillars of Eternity,"Prepare to be enchanted by a world where the choices you make and the paths you choose shape your destiny. Obsidian Entertainment, the developer of Fallout: New Vegas™ and South Park: The Stick of Truth™, together with Paradox Interactive is proud to present Pillars of Eternity.",RPG
https://store.steampowered.com/app/599140/Graveyard_Keeper/,app,Graveyard Keeper,"Build and manage a medieval graveyard while facing ethical dilemmas and making questionable decisions. Welcome to Graveyard Keeper, the most inaccurate medieval cemetery sim of the year.","Adventure,Indie,RPG,Simulation"
https://store.steampowered.com/app/364470/The_Elder_Scrolls_Legends/,app,The Elder Scrolls®: Legends™,The Elder Scrolls: Legends™ is an award- winning free-to-play strategy card game based on the world and lore of the Elder Scrolls series. Play for hours or minutes across many game modes that are easy to learn but challenging to master.,Free to Play
https://store.steampowered.com/sub/281610/,sub,RESIDENT EVIL 2 / BIOHAZARD RE:2 Deluxe Edition,RESIDENT EVIL 2 / BIOHAZARD RE:2 Deluxe Edition bundle,Action
https://store.steampowered.com/app/466560/Northgard/,app,Northgard,Northgard is a strategy game based on Norse mythology in which you control a clan of Vikings vying for the control of a mysterious newfound continent.,"Indie,Simulation,Strategy"
https://store.steampowered.com/app/813820/Realm_Royale/,app,Realm Royale,Be the last Champion standing in Realm Royale! Loot deadly weapons and powerful abilities to create your own Champion. Explore a fantasy world from horseback while outrunning the deadly fog. Can you survive the first 100-person fantasy Battle Royale?,"Action,Free to Play,Early Access"
https://store.steampowered.com/bundle/9193/Sid_Meiers_Civilization_VI_Gold_Edition/,bundle,Sid Meier’s Civilization VI Gold Edition,Sid Meier’s Civilization VI Gold Edition bundle,Strategy
https://store.steampowered.com/app/285900/Gang_Beasts/,app,Gang Beasts,"Gang Beasts is a silly multiplayer party game with surly gelatinous characters, brutal slapstick fight sequences, and absurd hazardous environments, set in the mean streets of Beef City.","Action,Adventure,Casual,Indie"
https://store.steampowered.com/bundle/2185/Age_of_Empires_Legacy_Bundle/,bundle,Age of Empires Legacy Bundle,Age of Empires Legacy Bundle bundle,"Simulation,Strategy"
https://store.steampowered.com/app/4700/Total_War_MEDIEVAL_II__Definitive_Edition/,app,Total War: MEDIEVAL II – Definitive Edition,"Spanning the most turbulent era in Western history, your quest for territory and power takes you through Europe, Africa, the Middle East, and even onto the shores of the New World.",Strategy
https://store.steampowered.com/app/738540/Tales_of_Vesperia_Definitive_Edition/,app,Tales of Vesperia: Definitive Edition,Celebrate the 10th anniversary of Tales of Vesperia and the return of this fan-favorite with the Definitive Edition!,RPG
https://store.steampowered.com/app/359870/FINAL_FANTASY_XX2_HD_Remaster/,app,FINAL FANTASY X/X-2 HD Remaster,"FINAL FANTASY X/X-2 HD Remaster celebrates two of the most cherished and beloved entries to the world-renowned franchise, completely remastered in gorgeous High Definition & now available on PC / Windows!",RPG
https://store.steampowered.com/app/653530/Return_of_the_Obra_Dinn/,app,Return of the Obra Dinn,Lost at sea 1803 ~ The good ship Obra Dinn.,"Adventure,Indie"
https://store.steampowered.com/app/204360/Castle_Crashers/,app,Castle Crashers®,"Hack, slash, and smash your way to victory in this award winning 2D arcade adventure from The Behemoth!","Action,Adventure,Casual,Indie,RPG"
https://store.steampowered.com/bundle/10539/FINAL_FANTASY_XV_EPISODE_ARDYN_COMPLETE_EDITION/,bundle,FINAL FANTASY XV EPISODE ARDYN COMPLETE EDITION,FINAL FANTASY XV EPISODE ARDYN COMPLETE EDITION bundle,RPG
https://store.steampowered.com/app/476600/Call_of_Duty_WWII/,app,Call of Duty®: WWII,Call of Duty® returns to its roots with Call of Duty®: WWII - a breathtaking experience that redefines World War II for a new gaming generation.,Action
https://store.steampowered.com/app/675010/MudRunner/,app,MudRunner,"MudRunner is the ultimate off-road experience putting the players in the driver seat and dares them to take charge of incredible all-terrain vehicles, venturing across extreme Siberian landscapes with only a map and compass as guides!",Simulation
https://store.steampowered.com/app/341800/Keep_Talking_and_Nobody_Explodes/,app,Keep Talking and Nobody Explodes,"Find yourself trapped alone in a room with a ticking time bomb. Your friends have the manual to defuse it, but they can't see the bomb, so you're going to have to talk it out – fast!",Indie
https://store.steampowered.com/app/17390/SPORE/,app,SPORE™,"From Single Cell to Galactic God, evolve your creature in a universe of your own creations. Play through Spore's five evolutionary stages: Cell, Creature, Tribe, Civilization, and Space. Each stage has its own unique style, challenges, and goals.",Simulation
https://store.steampowered.com/app/1018020/Contra_Anniversary_Collection/,app,Contra Anniversary Collection,The Contra Anniversary Collection brings this classic Run and Gun franchise back to modern platforms and a new generation of gamers.,Action
https://store.steampowered.com/app/380600/Fishing_Planet/,app,Fishing Planet,"Fishing Planet is a FREE to play unique and highly realistic online first-person multiplayer fishing simulator developed for anglers to bring you the full thrill of actual fishing! Choose your lures, make your trophy catches, discover new possibilities and sharpen your real angling skills anywhere, anytime with your friends!","Free to Play,Massively Multiplayer,Simulation,Sports"
https://store.steampowered.com/bundle/5700/Grand_Theft_Auto_V_Premium_Online_Edition__Great_White_Shark_Card_Bundle/,bundle,Grand Theft Auto V: Premium Online Edition & Great White Shark Card Bundle,Grand Theft Auto V: Premium Online Edition & Great White Shark Card Bundle bundle,"Action,Adventure"
https://store.steampowered.com/app/225540/Just_Cause_3/,app,Just Cause™ 3,"With over 1000 km² of complete freedom from sky to seabed, Rico Rodriguez returns to unleash chaos in the most creative and explosive ways imaginable.","Action,Adventure"
https://store.steampowered.com/app/8870/BioShock_Infinite/,app,BioShock Infinite,"Indebted to the wrong people, with his life on the line, veteran of the U.S. Cavalry and now hired gun, Booker DeWitt has only one opportunity to wipe his slate clean. He must rescue Elizabeth, a mysterious girl imprisoned since childhood and locked up in the flying city of Columbia.",Action
https://store.steampowered.com/app/244450/Men_of_War_Assault_Squad_2/,app,Men of War: Assault Squad 2,Men of War: Assault Squad 2 features new single player style skirmish modes that take players from extreme tank combat to deadly sniper stealth missions. Commanders can now faceoff against opponents on various new multiplayer 1v1 – 8v8 maps.,"Action,Simulation,Strategy"
https://store.steampowered.com/app/206480/Dungeons__Dragons_Online/,app,Dungeons & Dragons Online®,Enter a world of danger and adventure with Dungeons & Dragons Online® based on the beloved RPG that started it all.,"Action,Adventure,Free to Play,Massively Multiplayer,RPG"
https://store.steampowered.com/bundle/2553/NecroDancer_ULTIMATE_PACK/,bundle,NecroDancer ULTIMATE PACK,NecroDancer ULTIMATE PACK bundle,"Action,Indie,RPG"
